Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,379.0,420.34514883989175,5.0,113.66219595362584,5.0,66.02403274792024,113.0,417.96123686935937,176.0,633.4809055897491,56.0,314.4300954519933,23.0,413.445982383606,1.0,110.90901024799255
1002,700.0,283.6373655761485,10.0,88.23788934968675,10.0,51.4827018121911,208.0,270.643037447628,300.0,379.4490399939288,103.0,224.05916902327604,68.0,480.5314112076885,1.0,40.5196236537355
1003,568.0,262.3193091026648,2.0,21.233676611105214,5.0,28.06151083174318,168.0,319.0701384536493,220.0,303.4357199012455,108.0,226.71452862270925,64.0,387.8787878787879,1.0,46.182976954694496
1004,238.0,296.77290637937057,0.0,0.0,3.0,41.44218814753419,56.0,291.0300384575408,100.0,372.5921234025113,47.0,269.31010772404306,31.0,533.471003269661,1.0,124.69449847872713
1051,477.0,358.12692859234346,11.0,204.8035747533048,9.0,77.63305442939705,100.0,357.6026319553712,201.0,444.9856099180872,110.0,331.38519009459543,46.0,464.5995354004646,0.0,0.0
1053,445.0,224.72591013993608,1.0,10.514141520344864,7.0,37.1234620280017,87.0,219.16013804569616,220.0,305.77214415766724,81.0,186.18977565281352,48.0,330.98882912701697,1.0,50.50020452582833
1054,598.0,360.34733144120855,2.0,29.04865649963689,15.0,107.2731173567904,139.0,387.5536720013383,299.0,525.344812439603,106.0,263.4718631934778,35.0,289.9751449875725,2.0,120.51750215425037
1055,535.0,266.7810251372551,4.0,54.65227490094275,3.0,18.61966236345581,89.0,244.17679497379905,226.0,324.5867264136039,146.0,268.93604479811376,65.0,388.1987577639752,2.0,99.73122435037573
1056,866.0,273.9613353875161,2.0,13.30937645571305,9.0,30.308132682269743,203.0,309.0366581415175,381.0,331.1862727201606,188.0,274.52469261995856,83.0,374.37979251240415,0.0,0.0
1057,453.0,352.019644716597,2.0,37.53753753753754,7.0,61.793785310734464,83.0,353.2215507702783,229.0,506.6035440125655,90.0,272.9340409401061,42.0,405.64033223874833,0.0,0.0
1058,897.0,327.2552152879627,6.0,49.71002485501243,9.0,35.375967925789084,226.0,413.6542509380434,428.0,437.52939011674266,178.0,274.9247046103946,50.0,257.93139025019343,0.0,0.0
1059,682.0,339.0403467955219,5.0,54.01317921572864,13.0,69.7612020391736,136.0,332.5589925418755,352.0,503.0943158917776,121.0,252.08333333333331,55.0,381.8914039716706,0.0,0.0
1060,1144.0,412.7356363308379,5.0,39.169604386995694,20.0,76.91716021844474,224.0,385.8210754762479,552.0,544.7386340086645,228.0,375.4507879526405,113.0,617.8239475123019,2.0,72.15657977811851
1061,538.0,410.6462717440254,2.0,35.106196243637,6.0,51.95704883962591,133.0,485.95125872337314,234.0,497.9041215396728,116.0,385.522948585862,47.0,504.6708901535488,0.0,0.0
1062,506.0,207.24454856730944,3.0,26.68326958996709,13.0,54.85694995358258,85.0,182.90190002797323,230.0,255.885363357216,108.0,198.69011700640223,64.0,345.90855042698087,3.0,122.87226199642852
2000,4288.0,232.12846318289917,27.0,27.01431758832181,61.0,37.03996065263196,1196.0,241.9260224206357,1757.0,268.63389649109394,757.0,231.8572469938192,480.0,445.6452107066262,10.0,54.13443637660895
3101,1072.0,429.82125530259896,8.0,71.35212272565109,18.0,92.49267766301834,311.0,452.12688628499984,476.0,576.048020137477,147.0,294.7545717035611,112.0,642.0913833629536,0.0,0.0
3102,551.0,528.3293860448169,4.0,69.84459577440195,16.0,157.0320934340956,120.0,506.9922683679074,221.0,653.5561141505249,122.0,525.7714187209102,68.0,884.6103811630024,0.0,0.0
3103,560.0,450.2657371895377,4.0,60.56018168054504,14.0,127.18023255813954,154.0,530.6685044796692,249.0,590.1452847628753,100.0,385.95137012736393,39.0,404.7742605085625,,
