Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt,date
5515,176.0,55.994069718979766,13.0,89.26732129368949,38.0,150.6860179237053,51.0,49.608482077719955,54.0,53.79236148466918,17.0,31.458761265012306,3.0,16.409583196586805,,,07.05.2021
5515,176.0,55.994069718979766,13.0,89.26732129368949,38.0,150.6860179237053,51.0,49.608482077719955,54.0,53.79236148466918,17.0,31.458761265012306,3.0,16.409583196586805,,,08.05.2021
5515,177.0,56.312217842383056,16.0,109.86747236146398,37.0,146.72059639939727,53.0,51.55391274743447,49.0,48.81158727312573,19.0,35.15979200207258,3.0,16.409583196586805,,,09.05.2021
5515,179.0,56.94851408918964,17.0,116.73418938405548,39.0,154.65143944801332,55.0,53.49934341714897,49.0,48.81158727312573,16.0,29.60824589648217,3.0,16.409583196586805,,,10.05.2021
5515,167.0,53.13073660835011,16.0,109.86747236146398,38.0,150.6860179237053,53.0,51.55391274743447,44.0,43.83081306158229,13.0,24.056699790891763,3.0,16.409583196586805,,,11.05.2021
5515,159.0,50.58555162112376,18.0,123.60090640664698,33.0,130.85891030216513,56.0,54.47205875200623,38.0,37.85388400773016,13.0,24.056699790891763,1.0,5.469861065528936,,,12.05.2021
5515,134.0,42.63184853604141,13.0,89.26732129368949,22.0,87.23927353477674,52.0,50.58119741257721,33.0,32.87310979618672,13.0,24.056699790891763,1.0,5.469861065528936,,,13.05.2021
5515,112.0,35.63258982116894,11.0,75.53388724850649,13.0,51.55047981600444,44.0,42.79947473371918,32.0,31.87695495387803,11.0,20.35566905383149,1.0,5.469861065528936,,,14.05.2021
5515,69.0,21.95222051482729,4.0,27.466868090365995,9.0,35.6887937187723,28.0,27.236029376003117,18.0,17.930787161556392,9.0,16.65463831677122,1.0,5.469861065528936,,,15.05.2021
5515,67.0,21.315924268020705,4.0,27.466868090365995,7.0,27.75795067015624,29.0,28.20874471086037,17.0,16.934632319247704,9.0,16.65463831677122,1.0,5.469861065528936,,,16.05.2021
5515,67.0,21.315924268020705,4.0,27.466868090365995,7.0,27.75795067015624,29.0,28.20874471086037,17.0,16.934632319247704,9.0,16.65463831677122,1.0,5.469861065528936,,,17.05.2021
5515,65.0,20.67962802121412,4.0,27.466868090365995,8.0,31.72337219446427,27.0,26.263314041145858,17.0,16.934632319247704,9.0,16.65463831677122,0.0,0.0,,,18.05.2021
5515,52.0,16.543702416971293,5.0,34.33358511295749,9.0,35.6887937187723,21.0,20.42702203200233,13.0,12.95001295001295,4.0,7.402061474120543,0.0,0.0,,,19.05.2021
5515,54.0,17.17999866377788,4.0,27.466868090365995,9.0,35.6887937187723,23.0,22.37245270171684,14.0,13.94616779232164,3.0,5.551546105590407,1.0,5.469861065528936,,,20.05.2021
5515,56.0,17.81629491058447,4.0,27.466868090365995,10.0,39.65421524308034,25.0,24.31788337143135,14.0,13.94616779232164,2.0,3.701030737060271,1.0,5.469861065528936,,,21.05.2021
5515,62.0,19.725183651004237,4.0,27.466868090365995,10.0,39.65421524308034,27.0,26.263314041145858,18.0,17.930787161556392,2.0,3.701030737060271,1.0,5.469861065528936,,,22.05.2021
5515,54.0,17.17999866377788,4.0,27.466868090365995,8.0,31.72337219446427,24.0,23.345168036574098,16.0,15.938477476939015,1.0,1.850515368530135,1.0,5.469861065528936,,,23.05.2021
5515,56.0,17.81629491058447,3.0,20.600151067774497,8.0,31.72337219446427,24.0,23.345168036574098,19.0,18.92694200386508,1.0,1.850515368530135,1.0,5.469861065528936,,,24.05.2021
5515,57.0,18.134443033987765,2.0,13.733434045182998,8.0,31.72337219446427,28.0,27.236029376003117,17.0,16.934632319247704,1.0,1.850515368530135,1.0,5.469861065528936,,,25.05.2021
5515,47.0,14.952961799954824,1.0,6.866717022591499,5.0,19.82710762154017,24.0,23.345168036574098,15.0,14.942322634630328,1.0,1.850515368530135,1.0,5.469861065528936,,,26.05.2021
