Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,25.0,27.72725256199813,0.0,0.0,9.0,118.84325894625644,8.0,29.590176061547567,6.0,21.595939963286902,2.0,11.229646266142616,0.0,0.0,0.0,0.0
1002,99.0,40.11442741719815,8.0,70.5903114797494,18.0,92.66886326194398,46.0,59.85374866630234,20.0,25.29660266626192,3.0,6.525995214270176,4.0,28.266553600452266,,
1003,46.0,21.24416939915947,3.0,31.85051491665782,7.0,39.28611516444045,17.0,32.28685924828595,13.0,17.93029253961905,5.0,10.496042991792097,1.0,6.06060606060606,,
1004,43.0,53.61863434585266,3.0,83.03349017437033,7.0,96.6984390109131,14.0,72.7575096143852,13.0,48.436976042326464,4.0,22.920009168003663,2.0,34.417484081913614,0.0,0.0
1051,29.0,21.77291599408377,3.0,55.85552038726494,4.0,34.50357974639869,9.0,32.18423687598341,11.0,24.35244631392517,2.0,6.025185274447189,0.0,0.0,,
1053,34.0,17.170069538781632,2.0,21.02828304068973,6.0,31.82011030971574,16.0,40.30531274403607,10.0,13.898733825348511,0.0,0.0,0.0,0.0,,
1054,6.0,3.61552506462751,0.0,0.0,1.0,7.151541157119359,1.0,2.7881559136786933,1.0,1.757006061670912,3.0,7.456750845098429,0.0,0.0,,
1055,27.0,13.463715287300724,1.0,13.663068725235687,7.0,43.44587884806356,8.0,21.948475952701035,7.0,10.053571172102776,2.0,3.684055408193339,2.0,11.944577161968466,0.0,0.0
1056,149.0,47.13653461055416,6.0,39.92812936713915,37.0,124.60010102710892,44.0,66.9833150651565,45.0,39.11648890395598,13.0,18.98309044712479,4.0,18.04239963915201,0.0,0.0
1057,23.0,17.872962093778654,0.0,0.0,4.0,35.31073446327684,5.0,21.27840667290833,6.0,13.273455301639272,0.0,0.0,8.0,77.264825188333,0.0,0.0
1058,67.0,24.44381206721684,4.0,33.140016570008285,19.0,74.68259895444362,17.0,31.11558524755193,17.0,17.37850381304819,8.0,12.356166499343578,2.0,10.317255610007738,,
1059,34.0,16.902304678955637,3.0,32.40790752943718,4.0,21.46498524282265,12.0,29.343440518400783,12.0,17.15094258721969,3.0,6.25,0.0,0.0,0.0,0.0
1060,88.0,31.74889510237215,3.0,23.501762632197416,25.0,96.14645027305592,23.0,39.615556856936166,32.0,31.5790512468791,3.0,4.940141946745269,1.0,5.467468562055768,1.0,36.078289889059256
1061,29.0,22.13520795646233,0.0,0.0,2.0,17.319016279875303,8.0,29.230150900654024,10.0,21.277953911951823,2.0,6.646947389411412,7.0,75.16374959733706,0.0,0.0
1062,119.0,48.73933059191664,7.0,62.26096237658988,37.0,156.1313190986581,30.0,64.55361177457878,36.0,40.05162209069467,6.0,11.038339833689014,3.0,16.21446330126473,0.0,0.0
2000,1169.0,63.283156124255854,62.0,62.03287742503527,244.0,148.15984261052785,397.0,80.30487533527791,357.0,54.58298295237367,73.0,22.35875697562589,35.0,32.49496328069149,1.0,5.413443637660895
3101,54.0,21.651443830541368,2.0,17.83803068141277,11.0,56.52330301628899,15.0,21.806763004099672,16.0,19.36295866008326,4.0,8.020532563362208,6.0,34.39775268015823,,
3102,66.0,63.284463664170445,7.0,122.22804260520344,15.0,147.21758759446462,18.0,76.04884025518611,22.0,65.0598846665681,3.0,12.928805378383036,1.0,13.008976193573568,0.0,0.0
3103,35.0,28.141608574346108,2.0,30.28009084027252,5.0,45.42151162790697,14.0,48.24259131633357,12.0,28.44073661507833,2.0,7.719027402547279,0.0,0.0,,
3151,85.0,48.15236541413866,10.0,107.3998496402105,23.0,134.2830453059318,25.0,66.47345050386876,22.0,34.37768575669974,4.0,10.566356720202874,1.0,9.412650602409638,0.0,0.0
3153,40.0,29.34875121063599,0.0,0.0,8.0,79.80845969672785,8.0,27.883308354536265,17.0,37.63143331488655,5.0,14.226774790155073,2.0,16.231131309852298,,
3154,38.0,41.622397231015256,2.0,47.40459824602986,16.0,203.82165605095545,6.0,32.50975292587776,12.0,37.053047613166186,2.0,9.327053117567504,0.0,0.0,0.0,0.0
3155,53.0,40.0650111501682,3.0,55.50416281221092,6.0,54.7645125958379,21.0,79.91171657977853,15.0,33.038192150125546,4.0,12.114604155309223,4.0,35.6347438752784,,
3157,33.0,24.48053055986232,2.0,30.0390507659958,7.0,53.97486313516848,7.0,24.72624514305899,14.0,28.771064529387587,2.0,6.896313920209648,1.0,10.866021949364338,0.0,0.0
3158,27.0,22.571098961729447,0.0,0.0,5.0,49.68203497615262,6.0,24.299368216426373,11.0,25.966668240404136,5.0,17.54016698238967,0.0,0.0,,
3159,99.0,30.364279339101525,6.0,43.28067517853278,15.0,55.64830272676684,34.0,41.49175046373133,29.0,27.297200625011765,7.0,9.540294113638533,8.0,33.800912624640866,0.0,0.0
3241,757.0,65.42132804431712,33.0,59.12071374825325,159.0,152.629254900455,260.0,92.8704100585798,248.0,62.246183656360905,48.0,20.11035557622453,9.0,11.241288001798608,0.0,0.0
3251,63.0,29.020355706645663,2.0,20.17145738779627,10.0,50.33472592741733,23.0,50.56167425091781,24.0,31.036221857259243,4.0,8.150291372916582,0.0,0.0,0.0,0.0
3252,65.0,43.75660556449387,3.0,45.892611289582376,12.0,93.17493594223154,24.0,80.36700934266483,21.0,41.6484867716473,4.0,11.1000111000111,1.0,7.805182641273806,0.0,0.0
3254,135.0,48.94549647048586,8.0,67.30607437321218,30.0,128.71669455528382,37.0,59.59667547194124,37.0,39.19823713874057,10.0,15.88511882068878,13.0,61.33232685412342,,
3255,54.0,76.64140338925317,6.0,207.97227036395148,8.0,139.86013986013987,17.0,117.86729529224156,22.0,94.02914903620122,1.0,5.645889792231256,0.0,0.0,,
3256,121.0,99.67872147623363,7.0,126.7656646142702,22.0,196.25334522747548,47.0,180.31151691859128,38.0,89.91954566966399,5.0,18.183801869294832,2.0,22.63723825693265,,
3257,34.0,21.54353060448612,2.0,29.590176061547567,5.0,37.40555098376599,10.0,31.223655041059107,12.0,21.694326933506886,4.0,10.661264959087395,1.0,7.791803023219573,,
