Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,443.0,491.32691539860696,12.0,272.789270288702,19.0,250.89132444209693,161.0,595.5022932386448,164.0,590.2890256631753,72.0,404.2672655811342,15.0,269.6386841632213,0.0,0.0
1002,724.0,293.3620752530451,13.0,114.70925615459278,34.0,175.04118616144976,280.0,364.3271657948838,278.0,351.6227770610407,86.0,187.07852947574503,33.0,233.1990672037312,0.0,0.0
1003,997.0,460.44428023830415,20.0,212.33676611105213,46.0,258.16589965203724,331.0,628.6441418342735,427.0,588.9411472628719,142.0,298.0876209668955,31.0,187.87878787878788,0.0,0.0
1004,247.0,307.995411242456,1.0,27.677830058123444,10.0,138.1406271584473,80.0,415.7571977964869,106.0,394.947650806662,42.0,240.6600962640385,8.0,137.66993632765443,0.0,0.0
1051,652.0,489.5152147635386,5.0,93.0925339787749,18.0,155.2661088587941,216.0,772.4216850236018,294.0,650.8744742085455,89.0,268.1207447128999,30.0,302.999697000303,0.0,0.0
1053,642.0,324.21131305581787,20.0,210.2828304068973,41.0,217.4374204497242,156.0,392.9767992543517,307.0,426.69112843819926,94.0,216.0720853254873,24.0,165.49441456350849,0.0,0.0
1054,741.0,446.5173454814976,5.0,72.62164124909224,24.0,171.6369877708646,178.0,496.2917526348073,342.0,600.8960730914522,152.0,377.8087094849871,40.0,331.4001657000828,0.0,0.0
1055,955.0,476.21659627304416,10.0,136.6306872523569,35.0,217.2293942403178,227.0,622.7880051578918,460.0,660.6632484524681,170.0,313.14470969643384,51.0,304.5867176301959,2.0,99.73122435037573
1056,1055.0,333.7519732492257,13.0,86.51094696213482,50.0,168.37851490149856,254.0,386.6764096943125,544.0,472.87488808337895,157.0,229.2573230921994,37.0,166.89219666215607,0.0,0.0
1057,430.0,334.14668262281833,4.0,75.07507507507508,17.0,150.07062146892656,103.0,438.33517746191166,194.0,429.1750547530031,88.0,266.868840030326,24.0,231.79447556499903,0.0,0.0
1058,1249.0,455.6764368948332,22.0,182.2700911350456,68.0,267.2850909948508,327.0,598.5174338793813,599.0,612.3366931774038,182.0,281.1027878600664,51.0,263.09001805519733,0.0,0.0
1059,1009.0,501.6007476784187,8.0,86.42108674516582,47.0,252.21357660316608,307.0,750.7030199290867,463.0,661.7405348235596,150.0,312.5,34.0,236.07832245521456,0.0,0.0
1060,993.0,358.2574185983584,16.0,125.3427340383862,59.0,226.905622644412,256.0,440.9383719728547,482.0,475.65945940611647,144.0,237.12681344377296,36.0,196.82886823400764,0.0,0.0
1061,615.0,469.4190652835978,9.0,157.9778830963665,22.0,190.50917907862836,207.0,756.3301545544228,281.0,597.9105049258463,81.0,269.2013692711622,14.0,150.32749919467412,1.0,76.32830329814598
1062,618.0,253.11685971264276,9.0,80.04980876990128,30.0,126.59296143134442,153.0,329.2234200503518,317.0,352.6767834097281,77.0,141.65869453234234,32.0,172.95427521349043,0.0,0.0
2000,4618.0,249.9928271871801,71.0,71.03764995447587,174.0,105.6549697304584,1466.0,296.5414288199431,2049.0,313.27880131488416,654.0,200.30995975423744,204.0,189.3992145503161,0.0,0.0
3101,984.0,394.5374209120871,13.0,115.94719942918302,38.0,195.2623195108165,301.0,437.58904428226674,443.0,536.1119179010553,144.0,288.7391722810395,45.0,257.9831451011867,0.0,0.0
3102,356.0,341.3525615824951,7.0,122.22804260520344,18.0,176.66110511335754,91.0,384.4691368456631,158.0,467.24826260535264,62.0,267.19531115324946,20.0,260.1795238714713,0.0,0.0
