Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,283.0,313.8724990018189,9.0,204.5919527165265,22.0,290.5057440908491,110.0,406.8649208462791,104.0,374.3296260303063,33.0,185.2891633913532,5.0,89.87956138774042,0.0,0.0
1002,458.0,185.5798763341086,7.0,61.76652254478073,27.0,139.003294892916,159.0,206.8857834335233,180.0,227.6694239963573,54.0,117.46791385686318,31.0,219.06579040350505,0.0,0.0
1003,600.0,277.097861728167,12.0,127.40205966663127,67.0,376.0242451453586,177.0,336.1631815850949,242.0,333.77929189137,84.0,176.33352226210718,18.0,109.0909090909091,0.0,0.0
1004,165.0,205.74592248989973,4.0,110.71132023249378,15.0,207.2109407376709,33.0,171.49984409105082,67.0,249.63672267968252,36.0,206.280082512033,10.0,172.08742040956807,0.0,0.0
1051,356.0,267.28131358254564,3.0,55.85552038726494,41.0,353.66169240058656,117.0,418.3950793877843,127.0,281.1600619880452,50.0,150.62963186117972,18.0,181.7998182001818,0.0,0.0
1053,426.0,215.13087128002869,9.0,94.62727368310378,34.0,180.31395842172253,122.0,307.32800967327506,174.0,241.8379685610641,70.0,160.90474439132035,17.0,117.2252103158185,0.0,0.0
1054,456.0,274.7799049116908,9.0,130.718954248366,50.0,357.57705785596795,122.0,340.15502146880056,177.0,310.9900729157516,78.0,193.8755219725592,20.0,165.7000828500414,0.0,0.0
1055,449.0,223.89659866659352,7.0,95.6414810766498,51.0,316.53426017874875,92.0,252.4074734560619,197.0,282.93621727203526,83.0,152.8882994400236,17.0,101.52890587673195,2.0,99.73122435037573
1056,792.0,250.55124437287847,7.0,46.58281759499568,91.0,306.4488971207274,178.0,270.97795639995127,394.0,342.48659173685905,94.0,137.26234630997928,27.0,121.78619756427604,1.0,31.635258127888694
1057,286.0,222.24639820959544,1.0,18.76876876876877,22.0,194.2090395480226,56.0,238.3181547365733,130.0,287.5915315355176,58.0,175.89082638362396,19.0,183.5039598222909,0.0,0.0
1058,575.0,209.77898415895044,7.0,57.995028997514495,73.0,286.9384065091781,118.0,215.97876818888992,259.0,264.76661691644006,86.0,132.82878986794347,32.0,165.0760897601238,0.0,0.0
1059,500.0,248.5633041022888,6.0,64.81581505887436,49.0,262.9460692245774,111.0,271.4268247952072,224.0,320.15092829476754,89.0,185.41666666666663,19.0,131.92612137203167,2.0,99.42532164091551
1060,776.0,279.96752953909987,12.0,94.00705052878966,77.0,296.1310668410122,204.0,351.3727651658686,351.0,346.3827183642051,111.0,182.785252029575,21.0,114.81683980317112,0.0,0.0
1061,358.0,273.2553258073626,7.0,122.87168685272952,33.0,285.7637686179425,115.0,420.1834191969016,146.0,310.65812711449666,40.0,132.93894778822826,17.0,182.54053473639,0.0,0.0
1062,445.0,182.26052196136897,15.0,133.41634794983543,36.0,151.9115537176133,94.0,202.2679835603469,196.0,218.058831382671,80.0,147.17786444918684,24.0,129.71570641011783,0.0,0.0
2000,1882.0,101.88100926077804,28.0,28.014847869370765,172.0,104.44054479102785,577.0,116.71514626814952,749.0,114.51723874321534,275.0,84.22819408626192,81.0,75.20262930674316,0.0,0.0
3101,657.0,263.4258999382533,12.0,107.02818408847664,49.0,251.7856225271055,208.0,302.3871136568488,267.0,323.11937264013943,98.0,196.50304780237408,23.0,131.85805194060654,0.0,0.0
3102,246.0,235.8784554755444,6.0,104.76689366160294,35.0,343.5077043870841,69.0,291.52055431154673,93.0,275.0258760904924,35.0,150.83606274780212,8.0,104.07180954858852,0.0,0.0
3103,401.0,322.4224296660797,7.0,105.98031794095382,37.0,336.11918604651163,103.0,354.92763611302547,175.0,414.7607423032256,54.0,208.41373986877653,25.0,259.4706798131811,0.0,0.0
3151,485.0,274.7517320689089,12.0,128.8798195682526,30.0,175.15179822512843,143.0,380.22813688212926,203.0,317.2122822095476,89.0,235.101437024514,8.0,75.3012048192771,0.0,0.0
3153,349.0,256.067854312799,4.0,81.05369807497468,16.0,159.6169193934557,100.0,348.5413544317033,131.0,289.98339789706694,86.0,244.70052639066725,12.0,97.38678785911378,0.0,0.0
3154,210.0,230.01851101350536,1.0,23.70229912301493,9.0,114.64968152866244,61.0,330.5158214130906,81.0,250.1080713888717,41.0,191.20458891013385,17.0,244.85092899323055,0.0,0.0
3155,393.0,297.0858373965302,13.0,240.518038852914,35.0,319.4596568090544,109.0,414.7798622474219,140.0,308.35646006783844,77.0,233.2061299897026,19.0,169.2650334075724,,
3157,341.0,252.9654824519106,8.0,120.15620306398318,45.0,346.9812630117973,76.0,268.4563758389262,154.0,316.4817098232635,50.0,172.4078480052412,8.0,86.9281755949147,0.0,0.0
3158,406.0,339.4024510541539,7.0,135.65891472868216,31.0,308.0286168521463,84.0,340.1911550299692,196.0,462.6788159199282,72.0,252.5784045464113,16.0,181.03643358225844,0.0,0.0
3159,1000.0,306.70989231415683,23.0,165.90925485104233,54.0,200.3338898163606,283.0,345.3578053304696,368.0,346.3920631035976,182.0,248.04764695460184,90.0,380.26026702720975,0.0,0.0
3241,2979.0,257.4506423302783,103.0,184.52828836576012,259.0,248.6224969762129,836.0,298.6140877268181,1205.0,302.44617462062456,470.0,196.91389835053187,106.0,132.39739202118358,0.0,0.0
3251,597.0,275.0024183629756,9.0,90.7715582450832,51.0,256.7071022298284,161.0,353.9317197564246,269.0,347.86431998344733,76.0,154.85553608541505,31.0,201.1550191421712,0.0,0.0
3252,414.0,278.69591851846866,13.0,198.86798225485697,34.0,263.9956518363227,102.0,341.55978970632555,170.0,337.1544167228591,68.0,188.7001887001887,27.0,210.73993131439275,0.0,0.0
3254,812.0,294.39809728914463,17.0,143.02540804307588,66.0,283.1767280216244,212.0,341.4728432446363,335.0,354.90295787778626,123.0,195.386961494472,59.0,278.3544064917909,,
3255,198.0,281.0184790939283,3.0,103.98613518197574,13.0,227.27272727272728,42.0,291.20155307494974,77.0,329.1020216267043,36.0,203.2520325203252,27.0,427.1476032273375,0.0,0.0
3256,286.0,235.6042507620068,7.0,126.7656646142702,30.0,267.6181980374665,61.0,234.02133046880996,112.0,265.02602934216753,65.0,236.3894243008328,11.0,124.5048104131296,0.0,0.0
3257,514.0,325.6874920795844,15.0,221.92632046160676,42.0,314.20662826363434,121.0,377.8062259968152,188.0,339.8777886249412,115.0,306.51136757376264,33.0,257.1294997662459,0.0,0.0
3351,478.0,267.022696929239,14.0,165.30877317274766,45.0,265.9731662627815,122.0,320.4959806651605,199.0,327.2434263537847,83.0,198.4838701963316,15.0,116.01825353855672,0.0,0.0
3352,519.0,262.07091568284875,6.0,69.93006993006993,62.0,351.9927330532531,128.0,329.99046121323056,208.0,306.71680306716803,90.0,179.6550622804216,25.0,165.08188061278395,0.0,0.0
