Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,285.0,316.0906792067788,4.0,90.92975676290064,19.0,250.89132444209693,82.0,303.29930463086254,112.0,403.1242126480222,58.0,325.6597417181359,10.0,179.75912277548085,0.0,0.0
1002,410.0,166.13045698031556,2.0,17.64757786993735,12.0,61.77924217462933,118.0,153.5378770135582,171.0,216.28595279653945,76.0,165.32521209484446,30.0,211.999152003392,1.0,40.5196236537355
1003,676.0,312.1969242137348,2.0,21.233676611105214,33.0,185.205971489505,198.0,376.046948891801,294.0,405.5004620498462,107.0,224.6153200243508,42.0,254.54545454545453,0.0,0.0
1004,271.0,337.9220908773505,4.0,110.71132023249378,10.0,138.1406271584473,58.0,301.42396840245294,111.0,413.5772569767875,53.0,303.6901214760486,35.0,602.3059714334883,0.0,0.0
1051,398.0,298.81450226363245,4.0,74.47402718301993,27.0,232.89916328819115,101.0,361.1786582749249,170.0,376.3559884879345,73.0,219.9192625173224,23.0,232.2997677002323,0.0,0.0
1053,458.0,231.29093672829376,5.0,52.57070760172432,30.0,159.1005515485787,101.0,254.4272866967277,217.0,301.60252401006267,87.0,199.98161088635527,18.0,124.12081092263136,0.0,0.0
1054,366.0,220.54702894227813,6.0,87.14596949891067,28.0,200.24315239934205,68.0,189.59460213015112,152.0,267.06492137397873,82.0,203.8178564326904,30.0,248.55012427506213,0.0,0.0
1055,611.0,304.6788903903979,7.0,95.6414810766498,21.0,130.33763654419067,129.0,353.91917473730416,274.0,393.5255001651658,118.0,217.359269083407,61.0,364.3096034400383,1.0,49.86561217518786
1056,754.0,238.52984628428075,4.0,26.6187529114261,41.0,138.07038221922883,130.0,197.90524905614416,373.0,324.23223024834624,160.0,233.63803627230516,45.0,202.97699594046009,1.0,31.635258127888694
1057,300.0,233.12559252754767,2.0,37.53753753753754,15.0,132.41525423728814,51.0,217.039748063665,138.0,305.28947193770324,70.0,212.2820318423048,24.0,231.79447556499903,0.0,0.0
1058,722.0,263.409437500456,8.0,66.28003314001657,46.0,180.81050273181089,138.0,252.5853390683628,334.0,341.43648667988793,163.0,251.75689242412545,33.0,170.23471756512768,0.0,0.0
1059,597.0,296.7845850981328,6.0,64.81581505887436,49.0,262.9460692245774,134.0,327.6684191221421,273.0,390.1839438592479,99.0,206.25,35.0,243.0218025274268,1.0,49.71266082045776
1060,935.0,337.3320104627041,5.0,39.169604386995694,54.0,207.6763325898008,228.0,392.71073753832377,440.0,434.2119546445877,157.0,258.53409521300244,51.0,278.8408966648442,0.0,0.0
