Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,1033.0,1145.690075861763,50.0,1136.621959536258,213.0,2812.6237950614022,345.0,1276.0763426542387,337.0,1212.971961271281,58.0,325.6597417181359,30.0,539.2773683264426,0.0,0.0
1002,1841.0,745.9662714652707,77.0,679.431747992588,388.0,1997.5288303130149,620.0,806.7244385458141,575.0,727.2773266550303,103.0,224.05916902327604,76.0,537.064518408593,2.0,81.039247307471
1003,2195.0,1013.7163441555442,120.0,1274.0205966663127,442.0,2480.637557526097,705.0,1338.9550452965643,726.0,1001.33787567411,142.0,298.0876209668955,57.0,345.45454545454544,3.0,138.54893086408347
1004,1069.0,1332.9841887375928,27.0,747.3014115693329,288.0,3978.4500621632815,286.0,1486.3319821224404,346.0,1289.168746972689,75.0,429.7501719000688,46.0,791.602133884013,1.0,124.69449847872713
1051,1143.0,858.1532062495777,79.0,1470.8620368646434,243.0,2096.09246959372,321.0,1147.9044485767415,356.0,788.133717068851,98.0,295.2340784479123,45.0,454.4995455004545,1.0,75.07902066925439
1053,1592.0,803.963256051187,54.0,567.7636420986227,261.0,1384.1747984726346,446.0,1123.5105927400054,647.0,899.2480785000487,124.0,285.03126149319604,58.0,399.9448351951455,2.0,101.00040905165666
1054,902.0,543.533934715669,41.0,595.4974582425563,183.0,1308.7320317528429,255.0,710.9797579880667,330.0,579.8120003514013,73.0,181.4476038973951,12.0,99.42004971002486,8.0,482.0700086170014
1055,1278.0,637.282523598901,49.0,669.4903675365487,266.0,1650.9433962264152,320.0,877.9390381080414,465.0,667.8443707182558,111.0,204.46507515473036,65.0,388.1987577639752,2.0,99.73122435037573
1056,2323.0,734.8870463108544,100.0,665.4688227856525,407.0,1370.6011112981982,686.0,1044.3307757885764,920.0,799.7148842586556,163.0,238.01874945241084,45.0,202.97699594046009,2.0,63.27051625577739
1057,732.0,568.8264457672163,36.0,675.6756756756756,144.0,1271.1864406779662,213.0,906.4601242658948,271.0,599.5177311240404,53.0,160.7278241091736,12.0,115.89723778249952,3.0,233.12559252754764
1058,1931.0,704.4925537581449,93.0,770.5053852526926,479.0,1882.787626272552,503.0,920.6552576187426,660.0,674.6948539183414,115.0,177.61989342806393,77.0,397.2143409852979,4.0,145.9332063714438
1059,1529.0,760.106583944799,49.0,529.3291563141406,317.0,1701.1000804936946,414.0,1012.348697884827,534.0,763.2169451312761,115.0,239.58333333333331,93.0,645.7436467157339,7.0,347.9886257432043
1060,2192.0,790.836114368179,102.0,799.0599294947122,486.0,1869.086993308207,606.0,1043.783802404492,776.0,765.7919927368182,158.0,260.1808091952509,62.0,338.9830508474576,2.0,72.15657977811851
1061,972.0,741.9111080579789,33.0,579.2522380200105,175.0,1515.413924489089,250.0,913.4422156454384,300.0,638.3386173585548,111.0,368.90558011233344,102.0,1095.24320841834,1.0,76.32830329814598
1062,2300.0,942.020675305952,90.0,800.4980876990127,414.0,1746.982867752553,599.0,1288.9204484324232,882.0,981.2647412220194,192.0,353.22687467804843,115.0,621.5544265484813,8.0,327.65936532380937
2000,22421.0,1213.748197999949,1178.0,1178.62467107567,4747.0,2882.437593738425,6840.0,1383.5902954491207,7718.0,1180.0321076370308,1422.0,435.5363345115071,503.0,466.999043719652,13.0,70.37476728959163
3101,3014.0,1208.471327875031,90.0,802.7113806635747,650.0,3340.01336005344,1072.0,1558.4566626929898,1001.0,1211.395101171459,143.0,286.7340391401989,58.0,332.5116092415295,,
3102,1699.0,1629.0955115973577,82.0,1431.81421337524,351.0,3444.891549710472,499.0,2108.242849296548,549.0,1623.5398491793585,126.0,543.0098258920875,91.0,1183.8168336151946,1.0,95.88555100631883
3103,2054.0,1651.5104003344832,86.0,1302.0439061317184,456.0,4142.441860465116,648.0,2232.942798070296,726.0,1720.664565212239,108.0,416.82747973755306,30.0,311.3648157758173,,
3151,2497.0,1414.546546342403,90.0,966.5986467618944,555.0,3240.3082671648763,696.0,1850.6208620277064,904.0,1412.6103601843895,192.0,507.1851225697379,50.0,470.63253012048193,10.0,566.4984166369255
3153,2216.0,1625.9208170692336,103.0,2087.132725430598,453.0,4519.154030327215,637.0,2220.20842772995,834.0,1846.1538461538464,160.0,455.2567932849623,28.0,227.23583833793217,1.0,73.37187802658997
3154,988.0,1082.1823280063968,46.0,1090.3057596586868,192.0,2445.859872611465,273.0,1479.1937581274383,372.0,1148.6444760081515,75.0,349.7644919087814,19.0,273.656920639493,11.0,1204.8588672135995
3155,761.0,575.2730846278868,33.0,610.54579093432,188.0,1715.9547280029208,203.0,772.4799269378591,274.0,603.4976432756266,45.0,136.28929674722878,18.0,160.35634743875278,,
3157,1719.0,1275.2130918910098,75.0,1126.4644037248422,357.0,2752.718019893593,523.0,1847.4037442599788,586.0,1204.274558158652,123.0,424.12330609289336,51.0,554.1671194175813,4.0,296.73370375590684
3158,1441.0,1204.6279112537827,59.0,1143.4108527131782,329.0,3269.0779014308428,400.0,1619.9578810950916,519.0,1225.1546197063406,92.0,322.73907247597,42.0,475.2206381534284,0.0,0.0
3159,1884.0,577.8414371198714,117.0,843.9731659813893,349.0,1294.7505101094416,645.0,787.1229132090208,611.0,575.1237786855927,124.0,168.99949572731114,38.0,160.5543349670441,0.0,0.0
3241,18038.0,1558.877034694045,771.0,1381.274857572826,3533.0,3391.4412425365254,5880.0,2100.3000428632663,6394.0,1604.847170559563,1151.0,482.22956808821743,309.0,385.95088806175215,0.0,0.0
3251,2879.0,1326.1841917370296,128.0,1290.9732728189613,681.0,3427.79483565712,786.0,1727.8902591835388,1032.0,1334.5575398621477,195.0,397.3267044296834,52.0,337.42132243202906,5.0,230.32028338607668
3252,2410.0,1622.3602986220037,119.0,1820.406914486768,514.0,3990.993089525584,719.0,2407.6616548906677,842.0,1669.9059934155723,169.0,468.97546897546897,45.0,351.2332188573213,2.0,134.63570942921191
3254,3108.0,1126.834096520519,137.0,1152.6165236412587,609.0,2612.948899472261,945.0,1522.1313059725533,1081.0,1145.224171539961,225.0,357.4151734654975,111.0,523.6837139082846,,
3255,816.0,1158.1367623264923,35.0,1213.1715771230502,169.0,2954.5454545454545,227.0,1573.8750606669903,268.0,1145.4459973500875,79.0,446.0252935862692,37.0,585.3504192374625,1.0,141.92852479491327
3256,1831.0,1508.3614795287915,64.0,1159.0003621876133,408.0,3639.607493309545,544.0,2087.009897951354,643.0,1521.533364884051,128.0,465.5053278539477,43.0,486.7006225240521,1.0,82.37910865804432
3257,1903.0,1205.8040805981498,71.0,1050.4512501849383,409.0,3059.774070472058,502.0,1567.427483061167,693.0,1252.8473804100229,158.0,421.11996588395215,70.0,545.4262116253701,0.0,0.0
3351,3782.0,2112.719330097033,180.0,2125.398512221041,908.0,5366.747443702347,1113.0,2923.8690695108494,1262.0,2075.2824324546546,249.0,595.4516105889949,69.0,533.6839662773609,1.0,55.86248889733033
3352,2137.0,1079.085832012038,98.0,1142.1911421911425,460.0,2611.5589871692973,580.0,1495.269277372451,728.0,1073.5088107350882,187.0,373.2832960715426,80.0,528.2620179609086,4.0,201.98143790585644
