Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
1001,198.0,219.59984029102523,17.0,386.4514662423278,36.0,475.37303578502576,76.0,281.10667258470187,58.0,208.76075297844005,8.0,44.91858506457047,3.0,53.92773683264426,0.0,0.0
1002,413.0,167.34604568992762,20.0,176.4757786993735,88.0,453.0477759472817,156.0,202.98227808572096,107.0,135.33682426450127,39.0,84.8379377855123,3.0,21.1999152003392,,
1003,358.0,165.3350574978063,17.0,180.4862511943943,71.0,398.4734538107532,119.0,226.00801473800163,108.0,148.95935340606596,32.0,67.1746751474694,11.0,66.66666666666667,,
1004,142.0,177.06618783979252,6.0,166.06698034874066,28.0,386.7937560436524,52.0,270.24217856771645,45.0,167.66645553113008,10.0,57.30002292000917,1.0,17.208742040956807,0.0,0.0
1051,145.0,108.86457997041886,5.0,93.0925339787749,33.0,284.6545329077892,62.0,221.7136318123301,33.0,73.05733894177551,11.0,33.13851900945954,1.0,10.0999899000101,,
1053,520.0,262.6010635343073,18.0,189.2545473662076,117.0,620.492151039457,169.0,425.724865858881,168.0,233.498728265855,37.0,85.04965060684076,11.0,75.8516066749414,0.0,0.0
1054,142.0,85.56742652951775,6.0,87.14596949891067,23.0,164.48544661374527,44.0,122.67886020186248,47.0,82.5792848985329,19.0,47.22608868562338,3.0,24.85501242750621,0.0,0.0
1055,235.0,117.1841886116915,12.0,163.95682470282824,52.0,322.7408142999007,60.0,164.61356964525777,77.0,110.58928289313054,28.0,51.57677571470675,6.0,35.8337314859054,0.0,0.0
1056,658.0,208.1599984815076,23.0,153.05782924070007,110.0,370.4327327832968,211.0,321.21544269881866,241.0,209.4905294634087,58.0,84.69378814871061,15.0,67.65899864682002,0.0,0.0
1057,160.0,124.33364934802545,0.0,0.0,31.0,273.65819209039546,46.0,195.76134139075663,59.0,130.5223104661195,22.0,66.7172100075815,2.0,19.31620629708325,0.0,0.0
1058,349.0,127.3267225590847,19.0,157.41507870753935,94.0,369.4823316693526,87.0,159.23858332570697,110.0,112.44914231972358,35.0,54.05822843462816,4.0,20.63451122001548,0.0,0.0
1059,208.0,103.40233450655212,10.0,108.02635843145728,48.0,257.57982291387174,52.0,127.15490891307006,72.0,102.90565552331812,24.0,50.0,2.0,13.886960144424386,0.0,0.0
1060,483.0,174.25814016415623,9.0,70.50528789659225,85.0,326.8979309283901,142.0,244.58300320369287,188.0,185.52692607541476,48.0,79.04227114792431,11.0,60.14215418261345,,
1061,154.0,117.54558707914482,4.0,70.212392487274,22.0,190.50917907862836,54.0,197.30351857941463,47.0,100.00638338617358,22.0,73.11642128352554,5.0,53.68839256952647,0.0,0.0
1062,586.0,240.0104850996904,18.0,160.09961753980255,146.0,616.0857456325429,159.0,342.1341424052676,204.0,226.9591918472698,50.0,91.98616528074176,9.0,48.64338990379419,0.0,0.0
2000,5651.0,305.9136999642172,225.0,225.11931323601507,1189.0,721.9756264914656,1994.0,403.34489022303313,1819.0,278.1132940906659,336.0,102.91153895630548,85.0,78.91633939596505,3.0,16.240330912982685
3101,421.0,168.80107134551696,12.0,107.02818408847664,74.0,380.2476748368532,132.0,191.8995144360771,123.0,148.85274469939006,48.0,96.24639076034649,32.0,183.4546809608439,,
3102,221.0,211.90706772396467,19.0,331.76182992840927,45.0,441.6527627833939,68.0,287.29561874181417,55.0,162.64971166642022,15.0,64.64402689191519,19.0,247.17054767789776,0.0,0.0
3103,295.0,237.19355798377435,18.0,272.5208175624527,58.0,526.8895348837209,84.0,289.4555478980014,98.0,232.26601568980635,28.0,108.06638363566192,9.0,93.4094447327452,,
3151,261.0,147.85608674223755,9.0,96.65986467618946,52.0,303.5964502568893,81.0,215.3739796325348,69.0,107.8209235096492,35.0,92.45562130177515,15.0,141.18975903614458,0.0,0.0
3153,106.0,77.77419070818537,5.0,101.31712259371834,19.0,189.54509177972864,32.0,111.53323341814506,32.0,70.83563918096293,15.0,42.680324370465215,3.0,24.346696964778445,,
3154,170.0,186.2054612966472,5.0,118.51149561507468,28.0,356.687898089172,53.0,287.1694841785869,59.0,182.17748409806703,19.0,88.60700461689129,4.0,57.61198329252485,2.0,219.06524858429083
